#separator:Comma
#html:true
"reservation (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">訂位、預約</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ˌrɛzɚˈveʃən/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>I made a <b style=""color:#3b82f6;"">reservation</b> for four at seven o'clock.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>I'd like to make a <b style=""color:#10b981;"">reservation</b> for two.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(156,163,175,.20);color:#9ca3af;"">補充</span>固定搭配 make / cancel / confirm a reservation；動詞為 reserve。</div></div>"
"specials (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">今日特餐、主廚推薦菜</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ˈspɛʃəlz/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>The <b style=""color:#3b82f6;"">specials</b> are written on the board by the door.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>What are today's <b style=""color:#10b981;"">specials</b>?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>熟字生義：special 當名詞複數指餐廳的當日特餐，不是「特別的」。</div></div>"
"dish (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">一道菜、菜餚</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/dɪʃ/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>This <b style=""color:#3b82f6;"">dish</b> is made with fresh local vegetables.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Could you tell me more about this <b style=""color:#10b981;"">dish</b>?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>熟字生義：餐廳語境幾乎都指「菜餚」而非「盤子」。</div></div>"
"be allergic to","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">對…過敏</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/əˈlɝdʒɪk/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>She's <b style=""color:#3b82f6;"">allergic to</b> shellfish, so we avoid seafood places.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>I'm <b style=""color:#10b981;"">allergic to</b> peanuts. Does this dish contain any?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>形容詞重音在第二音節 /əˈlɝdʒɪk/，名詞 allergy 卻在第一音節 /ˈælɚdʒi/。</div></div>"
"medium rare","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">（牛排）三分熟</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ˈmidiəm ˈrɛr/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>How would you like your steak? <b style=""color:#3b82f6;"">Medium rare</b>, please.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>I'll have the steak <b style=""color:#10b981;"">medium rare</b>.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(156,163,175,.20);color:#9ca3af;"">補充</span>熟度由生到熟：rare → medium rare → medium → medium well → well done。</div></div>"
"dressing (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">沙拉醬、調味醬</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ˈdrɛsɪŋ/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>What kind of <b style=""color:#3b82f6;"">dressing</b> comes with the house salad?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Could I have the <b style=""color:#10b981;"">dressing</b> on the side?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>熟字生義：與 dress（穿衣）無關，指淋在沙拉上的醬汁。</div></div>"
"on the side","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">醬料另外附上、放旁邊</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ɑn ðə ˈsaɪd/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>I'd like the gravy <b style=""color:#3b82f6;"">on the side</b>, please.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Can you bring the sauce <b style=""color:#10b981;"">on the side</b>?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(156,163,175,.20);color:#9ca3af;"">補充</span>也可指「另加一份附餐」：a salad on the side。</div></div>"
"vegetarian (n./adj.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">素食者；素食的</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ˌvɛdʒəˈtɛriən/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>The menu marks all <b style=""color:#3b82f6;"">vegetarian</b> dishes with a green leaf.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>I'm a <b style=""color:#10b981;"">vegetarian</b>. Do you have vegetarian options?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>共五音節，重音在第三音節 -tar-。</div></div>"
"dairy (n./adj.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">乳製品（的）</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ˈdɛri/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>I try to cut down on <b style=""color:#3b82f6;"">dairy</b> products.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Can you make this dish without <b style=""color:#10b981;"">dairy</b>?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>與 diary（日記 /ˈdaɪəri/）拼字近似，但音節數與發音完全不同。</div></div>"
"vegan (n./adj.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 4px;"">全素者；全素的（不含蛋奶）</div><div style=""font-size:.85em;color:#9ca3af;margin:0 0 14px;"">/ˈvigən/</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>A <b style=""color:#3b82f6;"">vegan</b> diet excludes eggs, milk, and honey.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Do you have any <b style=""color:#10b981;"">vegan</b> desserts?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>讀作「VEE-gun」，重音在前；比 vegetarian 嚴格，蛋奶皆不吃。</div></div>"
